epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,3587.67,0.32335,0.25296,0.82091,0.96708,0.97766,0.995,0.90422,0.42226,0.26762,0.80665,0.00066835,0.00066835,0.00066835
69,3639.92,0.31712,0.25273,0.82666,0.9541,0.98893,0.995,0.90858,0.42008,0.25659,0.80876,0.0006634,0.0006634,0.0006634
70,3692.18,0.31292,0.24665,0.82679,0.9708,0.96706,0.99391,0.90618,0.42388,0.27033,0.81284,0.00065845,0.00065845,0.00065845
71,3744.55,0.31988,0.25268,0.83073,0.94361,0.99479,0.99391,0.90964,0.42875,0.26496,0.81391,0.0006535,0.0006535,0.0006535
72,3796.87,0.31209,0.25666,0.82501,0.95989,0.97302,0.99391,0.90736,0.42798,0.27192,0.80917,0.00064855,0.00064855,0.00064855
73,3849.15,0.32321,0.25392,0.83024,0.95507,0.99329,0.99055,0.90998,0.41364,0.26574,0.80907,0.0006436,0.0006436,0.0006436
74,3901.3,0.30876,0.24832,0.82172,0.9718,0.96408,0.99248,0.90699,0.41398,0.27111,0.81009,0.00063865,0.00063865,0.00063865
75,3953.32,0.3173,0.25051,0.82635,0.96426,0.97403,0.99253,0.90167,0.42169,0.26135,0.80835,0.0006337,0.0006337,0.0006337
76,4005.37,0.30216,0.23865,0.82305,0.96212,0.96529,0.99281,0.91101,0.42545,0.26277,0.80995,0.00062875,0.00062875,0.00062875
77,4057.74,0.31649,0.24327,0.82342,0.96117,0.96708,0.99138,0.91078,0.40992,0.2659,0.8081,0.0006238,0.0006238,0.0006238
78,4110,0.30196,0.23738,0.82426,0.96416,0.96679,0.99248,0.90545,0.42347,0.26117,0.80787,0.00061885,0.00061885,0.00061885
79,4162.28,0.30304,0.24,0.82619,0.97243,0.9682,0.99138,0.90605,0.41915,0.26282,0.80547,0.0006139,0.0006139,0.0006139
80,4214.53,0.30702,0.23844,0.82659,0.95838,0.97251,0.99357,0.91101,0.42152,0.26679,0.80641,0.00060895,0.00060895,0.00060895
81,4266.88,0.30055,0.23731,0.82275,0.96244,0.98164,0.99357,0.89986,0.42017,0.26344,0.80859,0.000604,0.000604,0.000604
82,4319.14,0.30587,0.24102,0.82366,0.95996,0.97215,0.99184,0.9036,0.42798,0.26837,0.81305,0.00059905,0.00059905,0.00059905
83,4371.39,0.30339,0.23637,0.82248,0.96711,0.96535,0.9907,0.90073,0.42913,0.27357,0.80858,0.0005941,0.0005941,0.0005941
84,4423.65,0.30118,0.23837,0.826,0.95968,0.97108,0.99029,0.90645,0.41842,0.27133,0.80241,0.00058915,0.00058915,0.00058915
85,4475.93,0.30644,0.23667,0.8222,0.96226,0.96783,0.99248,0.90935,0.41976,0.26965,0.8046,0.0005842,0.0005842,0.0005842
86,4528.21,0.29161,0.23415,0.81774,0.96879,0.9679,0.98723,0.90151,0.4106,0.25856,0.80461,0.00057925,0.00057925,0.00057925
87,4580.42,0.29607,0.23862,0.81991,0.97257,0.96117,0.99212,0.8969,0.42465,0.26425,0.80932,0.0005743,0.0005743,0.0005743
88,4632.45,0.29833,0.23287,0.82057,0.97542,0.96368,0.99281,0.89911,0.42217,0.25929,0.8078,0.00056935,0.00056935,0.00056935
89,4684.54,0.304,0.23496,0.81789,0.97098,0.96653,0.99391,0.90509,0.41143,0.24585,0.80738,0.0005644,0.0005644,0.0005644
90,4736.62,0.29411,0.23294,0.8217,0.97561,0.96165,0.99391,0.91383,0.40421,0.25296,0.80632,0.00055945,0.00055945,0.00055945
91,4788.76,0.29578,0.22969,0.82008,0.93545,0.99129,0.995,0.90731,0.40548,0.25827,0.80772,0.0005545,0.0005545,0.0005545
92,4841.09,0.28543,0.2245,0.82407,0.97236,0.96084,0.99281,0.91252,0.40925,0.25827,0.80656,0.00054955,0.00054955,0.00054955
93,4893.37,0.29562,0.23093,0.8234,0.96684,0.96823,0.99322,0.90641,0.41914,0.26083,0.81277,0.0005446,0.0005446,0.0005446
94,4945.63,0.3,0.23166,0.82072,0.9658,0.9838,0.99453,0.90555,0.42905,0.26304,0.8166,0.00053965,0.00053965,0.00053965
95,4997.97,0.28805,0.21993,0.82209,0.97233,0.98685,0.995,0.9076,0.41678,0.24432,0.80809,0.0005347,0.0005347,0.0005347
