epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,2469.93,0.73776,0.64818,0.92286,0.91886,0.88407,0.93895,0.7593,0.77823,0.60305,0.86343,0.0001981,0.0001981,0.0001981
83,2500.09,0.71969,0.64417,0.91596,0.87493,0.89033,0.93851,0.75891,0.75646,0.60561,0.86258,0.0001882,0.0001882,0.0001882
84,2530.27,0.727,0.64538,0.9168,0.8997,0.89755,0.9363,0.75496,0.76873,0.62417,0.86283,0.0001783,0.0001783,0.0001783
85,2560.49,0.7349,0.65018,0.91266,0.91061,0.89594,0.93254,0.75916,0.74968,0.6353,0.86273,0.0001684,0.0001684,0.0001684
86,2590.62,0.72513,0.65424,0.91589,0.92749,0.87979,0.93581,0.76795,0.75182,0.6232,0.86053,0.0001585,0.0001585,0.0001585
87,2620.63,0.73515,0.65275,0.91947,0.90266,0.8937,0.93178,0.75643,0.74419,0.61788,0.86429,0.0001486,0.0001486,0.0001486
88,2650.63,0.73401,0.635,0.91336,0.88685,0.90479,0.93263,0.75774,0.75362,0.6147,0.86333,0.0001387,0.0001387,0.0001387
89,2680.72,0.72511,0.63568,0.91282,0.92098,0.89801,0.93256,0.77311,0.70074,0.59633,0.85269,0.0001288,0.0001288,0.0001288
90,2710.65,0.73308,0.64579,0.9182,0.88734,0.89904,0.93038,0.76556,0.7256,0.60749,0.85838,0.0001189,0.0001189,0.0001189
91,2740.81,0.68103,0.59358,0.89215,0.91198,0.86317,0.93106,0.75039,0.78027,0.60893,0.86794,0.000109,0.000109,0.000109
92,2770.74,0.66432,0.58848,0.8836,0.89558,0.88594,0.93087,0.74489,0.81191,0.60342,0.87052,9.91e-05,9.91e-05,9.91e-05
93,2800.59,0.6621,0.58464,0.88323,0.88845,0.88426,0.93011,0.75075,0.75278,0.5883,0.86223,8.92e-05,8.92e-05,8.92e-05
94,2830.41,0.66362,0.58198,0.88587,0.91799,0.89072,0.93321,0.76123,0.72572,0.59672,0.85572,7.93e-05,7.93e-05,7.93e-05
95,2860.25,0.65611,0.57785,0.87863,0.87863,0.88836,0.93181,0.76271,0.74685,0.5973,0.86122,6.94e-05,6.94e-05,6.94e-05
96,2890.25,0.65356,0.57043,0.8838,0.89373,0.89477,0.93465,0.75073,0.77159,0.60179,0.86338,5.95e-05,5.95e-05,5.95e-05
97,2920.08,0.64862,0.57083,0.88278,0.89425,0.89922,0.93307,0.757,0.74641,0.59046,0.85804,4.96e-05,4.96e-05,4.96e-05
98,2949.97,0.65081,0.57076,0.88263,0.89104,0.88915,0.93373,0.75453,0.76347,0.59744,0.86306,3.97e-05,3.97e-05,3.97e-05
99,2979.85,0.64927,0.56365,0.88396,0.88646,0.88886,0.93301,0.75619,0.77126,0.5947,0.86479,2.98e-05,2.98e-05,2.98e-05
100,3009.93,0.64756,0.569,0.88451,0.89836,0.89586,0.93381,0.75757,0.75248,0.59411,0.85968,1.99e-05,1.99e-05,1.99e-05
