epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,8996.62,0.50267,0.2992,0.85789,0.83755,0.86821,0.87179,0.76646,0.55875,0.57654,0.84102,0.0007195,0.0007195,0.0007195
87,9098.81,0.50407,0.29673,0.8565,0.7516,0.92345,0.90957,0.81022,0.54517,0.57192,0.83603,0.0007162,0.0007162,0.0007162
88,9202.2,0.50102,0.29342,0.85134,0.81848,0.9232,0.91089,0.79729,0.56004,0.5317,0.83359,0.0007129,0.0007129,0.0007129
89,9303.78,0.49983,0.29589,0.85587,0.7899,0.90789,0.89422,0.78218,0.59881,0.65446,0.84328,0.0007096,0.0007096,0.0007096
90,9405.25,0.50433,0.29696,0.85111,0.81155,0.88906,0.90087,0.78844,0.5561,0.54999,0.83471,0.0007063,0.0007063,0.0007063
91,9506.51,0.49678,0.29288,0.85696,0.81609,0.85732,0.87407,0.76019,0.60182,0.60404,0.84723,0.000703,0.000703,0.000703
92,9608.47,0.50556,0.29481,0.85635,0.84185,0.87509,0.91005,0.79232,0.60369,0.51308,0.84674,0.0006997,0.0006997,0.0006997
93,9709.77,0.49937,0.29676,0.85625,0.8402,0.84536,0.897,0.79395,0.5866,0.6074,0.84464,0.0006964,0.0006964,0.0006964
94,9811.44,0.48897,0.29123,0.85205,0.80691,0.88233,0.89996,0.78418,0.5955,0.58087,0.84262,0.0006931,0.0006931,0.0006931
95,9912.47,0.49565,0.29555,0.85581,0.81004,0.89248,0.8848,0.78558,0.55912,0.64239,0.83696,0.0006898,0.0006898,0.0006898
96,10017.8,0.49228,0.28794,0.85435,0.85573,0.84541,0.88449,0.77349,0.56099,0.59882,0.83894,0.0006865,0.0006865,0.0006865
97,10122.7,0.48652,0.28888,0.84692,0.83518,0.88172,0.91175,0.79551,0.5721,0.57268,0.83499,0.0006832,0.0006832,0.0006832
98,10224.3,0.48712,0.28662,0.85184,0.85112,0.8357,0.89051,0.78732,0.55479,0.58468,0.83757,0.0006799,0.0006799,0.0006799
99,10327,0.48011,0.28402,0.84818,0.84103,0.83806,0.87772,0.78778,0.52166,0.61848,0.83042,0.0006766,0.0006766,0.0006766
100,10431.6,0.48466,0.28175,0.85015,0.8383,0.83328,0.89268,0.77393,0.58608,0.63889,0.84198,0.0006733,0.0006733,0.0006733
101,10533.2,0.48474,0.281,0.84908,0.83191,0.85321,0.8896,0.78422,0.56301,0.5844,0.84138,0.00067,0.00067,0.00067
102,10634.7,0.48344,0.28316,0.85008,0.82078,0.83575,0.87816,0.76554,0.5995,0.63294,0.84626,0.0006667,0.0006667,0.0006667
103,10736.3,0.46726,0.27331,0.84648,0.84728,0.83784,0.891,0.77614,0.58145,0.57192,0.83743,0.0006634,0.0006634,0.0006634
104,10837.4,0.48084,0.28225,0.85024,0.76639,0.95485,0.89641,0.78312,0.58748,0.55052,0.84259,0.0006601,0.0006601,0.0006601
105,10938.4,0.47286,0.28216,0.84861,0.79469,0.91382,0.89397,0.80154,0.53341,0.53106,0.83269,0.0006568,0.0006568,0.0006568
106,11039.5,0.46993,0.2746,0.84404,0.84303,0.84744,0.89754,0.79216,0.53567,0.5553,0.83287,0.0006535,0.0006535,0.0006535
107,11140.6,0.46959,0.27754,0.84712,0.81976,0.86875,0.88199,0.75798,0.63475,0.56878,0.85176,0.0006502,0.0006502,0.0006502
108,11241.6,0.46579,0.27575,0.84834,0.83655,0.84347,0.89035,0.78755,0.53863,0.5627,0.83466,0.0006469,0.0006469,0.0006469
109,11342.6,0.4605,0.27408,0.84101,0.82371,0.85732,0.89007,0.79561,0.53338,0.59207,0.83549,0.0006436,0.0006436,0.0006436
110,11443.7,0.46406,0.27844,0.84608,0.83158,0.84738,0.89599,0.78838,0.56091,0.59503,0.84454,0.0006403,0.0006403,0.0006403
111,11544.7,0.46801,0.27519,0.85151,0.83688,0.8393,0.87184,0.76181,0.57134,0.61694,0.84507,0.000637,0.000637,0.000637
112,11645.7,0.46476,0.27396,0.84953,0.80964,0.87183,0.87534,0.77783,0.52478,0.62763,0.83425,0.0006337,0.0006337,0.0006337
113,11746.8,0.45937,0.27109,0.84114,0.81057,0.88857,0.88524,0.77919,0.54359,0.58128,0.83575,0.0006304,0.0006304,0.0006304
114,11847.8,0.46543,0.26988,0.84629,0.8115,0.84539,0.90607,0.80087,0.57528,0.63754,0.84454,0.0006271,0.0006271,0.0006271
115,11948.8,0.45554,0.2656,0.84296,0.80918,0.84343,0.86972,0.75268,0.56826,0.68969,0.8446,0.0006238,0.0006238,0.0006238
116,12049.9,0.45158,0.26444,0.83878,0.81709,0.86282,0.89641,0.79829,0.54168,0.6066,0.83489,0.0006205,0.0006205,0.0006205
117,12150.9,0.45768,0.27117,0.84099,0.82425,0.85281,0.89168,0.7881,0.56098,0.61341,0.8404,0.0006172,0.0006172,0.0006172
118,12252,0.45625,0.26273,0.84441,0.84232,0.85186,0.89425,0.78756,0.56116,0.66402,0.84609,0.0006139,0.0006139,0.0006139
119,12353,0.44398,0.26083,0.84241,0.81682,0.85128,0.89189,0.78607,0.56806,0.62997,0.8424,0.0006106,0.0006106,0.0006106
